"gene"	"chr"	"start"	"end"	"size"	"ARtal"	"enhid"
"TIMM13"	"19"	2061175	2061793	619	21	9610
"MIR7108"	"19"	2061175	2061793	619	21	9610
"LMNB2"	"19"	2061175	2061793	619	21	9610
"LINC01775"	"19"	2061175	2061793	619	21	9610
"SGTA"	"19"	2061175	2061793	619	21	9610
"THOP1"	"19"	2061175	2061793	619	21	9610
"ZNF57"	"19"	2061175	2061793	619	21	9610
"SBNO2"	"19"	2061175	2061793	619	21	9610
"CBARP"	"19"	2061175	2061793	619	21	9610
"ATP5D"	"19"	2061175	2061793	619	21	9610
"MIDN"	"19"	2061175	2061793	619	21	9610
"CIRBP-AS1"	"19"	2061175	2061793	619	21	9610
"CIRBP"	"19"	2061175	2061793	619	21	9610
"NDUFS7"	"19"	2061175	2061793	619	21	9610
"GAMT"	"19"	2061175	2061793	619	21	9610
"DAZAP1"	"19"	2061175	2061793	619	21	9610
"C19orf25"	"19"	2061175	2061793	619	21	9610
"PCSK4"	"19"	2061175	2061793	619	21	9610
"REEP6"	"19"	2061175	2061793	619	21	9610
"TCF3"	"19"	2061175	2061793	619	21	9610
"ATP8B3"	"19"	2061175	2061793	619	21	9610
"MIR1909"	"19"	2061175	2061793	619	21	9610
"KLF16"	"19"	2061175	2061793	619	21	9610
"ABHD17A"	"19"	2061175	2061793	619	21	9610
"ADAT3"	"19"	2061175	2061793	619	21	9610
"SCAMP4"	"19"	2061175	2061793	619	21	9610
"CSNK1G2"	"19"	2061175	2061793	619	21	9610
"CSNK1G2-AS1"	"19"	2061175	2061793	619	21	9610
"BTBD2"	"19"	2061175	2061793	619	21	9610
"MKNK2"	"19"	2061175	2061793	619	21	9610
"BSG"	"19"	2061175	2061793	619	21	9610
"NFIC"	"19"	3343374	3344077	704	21	9611
"SMIM24"	"19"	3343374	3344077	704	21	9611
"DOHH"	"19"	3343374	3344077	704	21	9611
"FZR1"	"19"	3343374	3344077	704	21	9611
"TJP3"	"19"	3343374	3344077	704	21	9611
"ZNF77"	"19"	3343374	3344077	704	21	9611
"ZNF57"	"19"	3343374	3344077	704	21	9611
"KDM4B"	"19"	5046214	5046937	724	21	9612
"FEM1A"	"19"	5046214	5046937	724	21	9612
"PLIN3"	"19"	5046214	5046937	724	21	9612
"SMARCA4"	"19"	11050124	11050764	641	21	9613
"SPC24"	"19"	11050124	11050764	641	21	9613
"KANK2"	"19"	11050124	11050764	641	21	9613
"LOC105372273"	"19"	11050124	11050764	641	21	9613
"KRI1"	"19"	11050124	11050764	641	21	9613
"CDKN2D"	"19"	11050124	11050764	641	21	9613
"CARM1"	"19"	11050124	11050764	641	21	9613
"YIPF2"	"19"	11050124	11050764	641	21	9613
"SUGP2"	"19"	19156743	19157324	582	21	9615
"ARMC6"	"19"	19156743	19157324	582	21	9615
"C19orf12"	"19"	30169518	30170087	570	21	9617
"PLEKHF1"	"19"	30169518	30170087	570	21	9617
"POP4"	"19"	30169518	30170087	570	21	9617
"SCGB1B2P"	"19"	34962834	34963610	777	21	9619
"ZNF302"	"19"	34962834	34963610	777	21	9619
"ZNF181"	"19"	34962834	34963610	777	21	9619
"LSM14A"	"19"	34962834	34963610	777	21	9619
"GPI"	"19"	34962834	34963610	777	21	9619
"PDCD2L"	"19"	34962834	34963610	777	21	9619
"UBA2"	"19"	34962834	34963610	777	21	9619
"SPTBN4"	"19"	40759516	40760214	699	21	9621
"BLVRB"	"19"	40759516	40760214	699	21	9621
"PSMC4"	"19"	40759516	40760214	699	21	9621
"CNTD2"	"19"	40759516	40760214	699	21	9621
"AKT2"	"19"	40759516	40760214	699	21	9621
"MIR641"	"19"	40759516	40760214	699	21	9621
"SERTAD1"	"19"	40759516	40760214	699	21	9621
"SERTAD3"	"19"	40759516	40760214	699	21	9621
"LTBP4"	"19"	40759516	40760214	699	21	9621
"CENPO"	"2"	24783420	24783934	515	21	9625
"PTRHD1"	"2"	24783420	24783934	515	21	9625
"VPS54"	"2"	64208724	64209287	564	21	9629
"MYO1B"	"2"	192280494	192281143	650	21	9639
"MIR1302-4"	"2"	207670557	207671287	731	21	9641
"ACSL3"	"2"	223617792	223618393	602	21	9644
"PTMA"	"2"	231602411	231602969	559	21	9647
"MIR1244-1"	"2"	231602411	231602969	559	21	9647
"C2orf72"	"2"	231602411	231602969	559	21	9647
"PSMD1"	"2"	231602411	231602969	559	21	9647
"TRIP12"	"2"	231602411	231602969	559	21	9647
"FBXO36"	"2"	231602411	231602969	559	21	9647
"SLC16A14"	"2"	231602411	231602969	559	21	9647
"CAB39"	"2"	231602411	231602969	559	21	9647
"LINC01237"	"2"	243040161	243040744	584	21	9649
"JAG1"	"20"	10965455	10966119	665	21	9651
"PYGB"	"20"	25213930	25214505	576	21	9655
"ABHD12"	"20"	25213930	25214505	576	21	9655
"GINS1"	"20"	25213930	25214505	576	21	9655
"NANP"	"20"	25213930	25214505	576	21	9655
"ZNF337-AS1"	"20"	25213930	25214505	576	21	9655
"APMAP"	"20"	25213930	25214505	576	21	9655
"LOC101926889"	"20"	25213930	25214505	576	21	9655
"ENTPD6"	"20"	25213930	25214505	576	21	9655
"EIF2S2"	"20"	32149830	32150405	576	21	9656
"COMMD7"	"20"	32149830	32150405	576	21	9656
"SNTA1"	"20"	32149830	32150405	576	21	9656
"CBFA2T2"	"20"	32149830	32150405	576	21	9656
"C20orf144"	"20"	32149830	32150405	576	21	9656
"ACTL10"	"20"	32149830	32150405	576	21	9656
"LOC101927770"	"20"	52402680	52403300	621	21	9659
"ZNF217"	"20"	52402680	52403300	621	21	9659
"PFDN4"	"20"	52701446	52701971	526	21	9660
"DOPEY2"	"21"	37571231	37571793	563	21	9666
"CBR3-AS1"	"21"	37571231	37571793	563	21	9666
"PRDM15"	"21"	43750931	43751451	521	21	9668
"TFF1"	"21"	43750931	43751451	521	21	9668
"UMODL1"	"21"	43750931	43751451	521	21	9668
"TFF3"	"21"	43750931	43751451	521	21	9668
"NDUFV3"	"21"	43951643	43952203	561	21	9669
"TFF1"	"21"	43951643	43952203	561	21	9669
"RSPH1"	"21"	43951643	43952203	561	21	9669
"LOC101930094"	"21"	43951643	43952203	561	21	9669
"SLC37A1"	"21"	43951643	43952203	561	21	9669
"MB"	"22"	35848336	35848979	644	21	9670
"APOL5"	"22"	35848336	35848979	644	21	9670
"RBFOX2"	"22"	35848336	35848979	644	21	9670
"HMOX1"	"22"	35848336	35848979	644	21	9670
"MCM5"	"22"	35848336	35848979	644	21	9670
"MIR563"	"3"	15944651	15945249	599	21	9677
"ANKRD28"	"3"	15944651	15945249	599	21	9677
"TBC1D5"	"3"	17846987	17847549	563	21	9678
"LOC105376975"	"3"	17846987	17847549	563	21	9678
"GOLGA4"	"3"	37114195	37114829	635	21	9681
"LRRFIP2"	"3"	37114195	37114829	635	21	9681
"EPM2AIP1"	"3"	37114195	37114829	635	21	9681
"MLH1"	"3"	37114195	37114829	635	21	9681
"ZNF619"	"3"	40509351	40509929	579	21	9682
"ZNF620"	"3"	40509351	40509929	579	21	9682
"ZNF621"	"3"	40509351	40509929	579	21	9682
"RPL14"	"3"	40509351	40509929	579	21	9682
"ENTPD3-AS1"	"3"	40509351	40509929	579	21	9682
"SS18L2"	"3"	42612547	42613273	727	21	9683
"SEC22C"	"3"	42612547	42613273	727	21	9683
"NKTR"	"3"	42612547	42613273	727	21	9683
"CCDC13"	"3"	42612547	42613273	727	21	9683
"VIPR1"	"3"	42612547	42613273	727	21	9683
"RAD54L2"	"3"	51578799	51579415	617	21	9685
"FLNB-AS1"	"3"	58023201	58023750	550	21	9687
"ABHD6"	"3"	58023201	58023750	550	21	9687
"RPP14"	"3"	58023201	58023750	550	21	9687
"APPL1"	"3"	58023201	58023750	550	21	9687
"FLNB"	"3"	58023201	58023750	550	21	9687
"FLNB"	"3"	58121771	58122425	655	21	9688
"KCTD6"	"3"	58456951	58457599	649	21	9689
"ACOX2"	"3"	58456951	58457599	649	21	9689
"FAM107A"	"3"	58456951	58457599	649	21	9689
"RPP14"	"3"	58456951	58457599	649	21	9689
"PXK"	"3"	58456951	58457599	649	21	9689
"PDHB"	"3"	58456951	58457599	649	21	9689
"KLHL24"	"3"	183207862	183208373	512	21	9708
"YEATS2"	"3"	183207862	183208373	512	21	9708
"PARL"	"3"	183207862	183208373	512	21	9708
"MIR4448"	"3"	183207862	183208373	512	21	9708
"ABCC5-AS1"	"3"	183207862	183208373	512	21	9708
"ALG3"	"3"	183207862	183208373	512	21	9708
"ECE2"	"3"	183207862	183208373	512	21	9708
"MCCC1"	"3"	183207862	183208373	512	21	9708
"MCF2L2"	"3"	183207862	183208373	512	21	9708
"CPEB2-AS1"	"4"	15147350	15147886	537	21	9712
"CPEB2"	"4"	15147350	15147886	537	21	9712
"RBPJ"	"4"	26084000	26084587	588	21	9716
"CHIC2"	"4"	55012250	55012755	506	21	9720
"HPGDS"	"4"	95547886	95548554	669	21	9725
"BMPR1B"	"4"	95680890	95681737	848	21	9726
"BMPR1B-AS1"	"4"	95680890	95681737	848	21	9726
"FAM160A1"	"4"	152380500	152381005	506	21	9731
"MSMO1"	"4"	166210050	166210505	456	21	9733
"SPCS3"	"4"	177165887	177166455	569	21	9734
"IRF2"	"4"	185408590	185409200	611	21	9737
"LOC100130744"	"5"	14684081	14684536	456	21	9739
"MIR4637"	"5"	14684081	14684536	456	21	9739
"ANKH"	"5"	14684081	14684536	456	21	9739
"FAM105A"	"5"	14684081	14684536	456	21	9739
"OTULIN"	"5"	14684081	14684536	456	21	9739
"GOLPH3"	"5"	32331038	32331980	943	21	9743
"MTMR12"	"5"	32331038	32331980	943	21	9743
"PRKAA1"	"5"	42858744	42859431	688	21	9745
"SELENOP"	"5"	42858744	42859431	688	21	9745
"PARP8"	"5"	49950850	49951231	382	21	9748
"STC2"	"5"	172939873	172940436	564	21	9760
"BMP6"	"6"	7975868	7976452	585	21	9763
"NBAT1"	"6"	21738740	21739434	695	21	9767
"SOX4"	"6"	21738740	21739434	695	21	9767
"CASC15"	"6"	21738740	21739434	695	21	9767
"SOX4"	"6"	21748885	21749352	468	21	9768
"SNRPC"	"6"	34514452	34515039	588	21	9771
"OGFRL1"	"6"	72075539	72076083	545	21	9773
"SH3BGRL2"	"6"	80131667	80132252	586	21	9774
"PHIP"	"6"	80131667	80132252	586	21	9774
"AMD1"	"6"	110944268	110944781	514	21	9776
"CDK19"	"6"	110944268	110944781	514	21	9776
"GTF3C6"	"6"	110944268	110944781	514	21	9776
"RPF2"	"6"	110944268	110944781	514	21	9776
"BCLAF1"	"6"	135467739	135468252	514	21	9778
"MYB"	"6"	135591768	135592339	572	21	9779
"HEBP2"	"6"	138556340	138556902	563	21	9783
"GVQW2"	"6"	138556340	138556902	563	21	9783
"CCDC28A"	"6"	138556340	138556902	563	21	9783
"MAP3K5"	"6"	138556340	138556902	563	21	9783
"LOC101928429"	"6"	138556340	138556902	563	21	9783
"IFNGR1"	"6"	138556340	138556902	563	21	9783
"PERP"	"6"	138556340	138556902	563	21	9783
"ARFGEF3"	"6"	138556340	138556902	563	21	9783
"SCAF8"	"6"	154911718	154912346	629	21	9792
"MIR1273C"	"6"	154911718	154912346	629	21	9792
"CNKSR3"	"6"	154911718	154912346	629	21	9792
"PRKAR1B"	"7"	744970	745475	506	21	9795
"DNAAF5"	"7"	744970	745475	506	21	9795
"GET4"	"7"	744970	745475	506	21	9795
"PMS2P4"	"7"	66532399	66533023	625	21	9801
"STAG3L4"	"7"	66532399	66533023	625	21	9801
"CLDN4"	"7"	73795820	73796379	560	21	9802
"RFC2"	"7"	73795820	73796379	560	21	9802
"GTF2IRD1"	"7"	73892131	73892929	799	21	9803
"CASD1"	"7"	94081525	94082071	547	21	9807
"BAIAP2L1"	"7"	98040773	98041371	599	21	9809
"TRRAP"	"7"	98040773	98041371	599	21	9809
"MIR3609"	"7"	98040773	98041371	599	21	9809
"SCARNA28"	"7"	98040773	98041371	599	21	9809
"ZCWPW1"	"7"	99620079	99620771	693	21	9810
"MEPCE"	"7"	99620079	99620771	693	21	9810
"PPP1R35"	"7"	99620079	99620771	693	21	9810
"ZNF394"	"7"	99620079	99620771	693	21	9810
"ZKSCAN5"	"7"	99620079	99620771	693	21	9810
"LOC101927974"	"7"	107238320	107238771	452	21	9811
"CBLL1"	"7"	107238320	107238771	452	21	9811
"BCAP29"	"7"	107238320	107238771	452	21	9811
"SND1"	"7"	127306581	127307029	449	21	9813
"LOC100130880"	"7"	138161881	138162425	545	21	9817
"TRIM24"	"7"	138161881	138162425	545	21	9817
"GIMAP2"	"7"	150348429	150348981	553	21	9820
"REPIN1"	"7"	150348429	150348981	553	21	9820
"ZNF775"	"7"	150348429	150348981	553	21	9820
"GIMAP8"	"7"	150348429	150348981	553	21	9820
"GIMAP6"	"7"	150348429	150348981	553	21	9820
"TNKS"	"8"	9370316	9370955	640	21	9823
"PPP1R3B"	"8"	9370316	9370955	640	21	9823
"INTS10"	"8"	19627243	19627839	597	21	9825
"CSGALNACT1"	"8"	19627243	19627839	597	21	9825
"PPP3CC"	"8"	22240743	22241534	792	21	9826
"C8orf58"	"8"	22240743	22241534	792	21	9826
"CCAR2"	"8"	22240743	22241534	792	21	9826
"MIR320A"	"8"	22240743	22241534	792	21	9826
"POLR3D"	"8"	22240743	22241534	792	21	9826
"PIWIL2"	"8"	22240743	22241534	792	21	9826
"LOC100507071"	"8"	22240743	22241534	792	21	9826
"SLC39A14"	"8"	22240743	22241534	792	21	9826
"PPP2R2A"	"8"	25953599	25954255	657	21	9827
"EBF2"	"8"	25953599	25954255	657	21	9827
"ATP6V1H"	"8"	54328195	54328948	754	21	9833
"RGS20"	"8"	54328195	54328948	754	21	9833
"ATP6V1H"	"8"	54605089	54605825	737	21	9834
"RGS20"	"8"	54605089	54605825	737	21	9834
"PAG1"	"8"	81491646	81492246	601	21	9835
"HEY1"	"8"	81491646	81492246	601	21	9835
"LINC01607"	"8"	81491646	81492246	601	21	9835
"MRPS28"	"8"	81491646	81492246	601	21	9835
"TPD52"	"8"	81491646	81492246	601	21	9835
"MIR5708"	"8"	81491646	81492246	601	21	9835
"ZBTB10"	"8"	81491646	81492246	601	21	9835
"YWHAZ"	"8"	101476059	101476680	622	21	9839
"SPAG1"	"8"	101476059	101476680	622	21	9839
"FBXO43"	"8"	101476059	101476680	622	21	9839
"POLR2K"	"8"	101476059	101476680	622	21	9839
"RNF19A"	"8"	101476059	101476680	622	21	9839
"NACAP1"	"8"	102398045	102398646	602	21	9840
"YWHAZ"	"8"	102398045	102398646	602	21	9840
"MAL2"	"8"	120149579	120150196	618	21	9845
"CHRAC1"	"8"	141474634	141475330	697	21	9848
"AGO2"	"8"	141474634	141475330	697	21	9848
"KANK1"	"9"	489712	490311	600	21	9849
"TTC39B"	"9"	15213412	15213936	525	21	9851
"SNAPC3"	"9"	15213412	15213936	525	21	9851
"MLLT3"	"9"	20551763	20552360	598	21	9852
"FOCAD-AS1"	"9"	20551763	20552360	598	21	9852
"MIR4473"	"9"	20551763	20552360	598	21	9852
"TOMM5"	"9"	37700736	37701302	567	21	9858
"FRMPD1"	"9"	37700736	37701302	567	21	9858
"C9orf85"	"9"	74559610	74560213	604	21	9859
"ABHD17B"	"9"	74559610	74560213	604	21	9859
"ZFAND5"	"9"	74930463	74931078	616	21	9860
"LINC01504"	"9"	74930463	74931078	616	21	9860
"MSI2"	"17"	55292709	55293287	579	21	9867
"SRSF1"	"17"	55292709	55293287	579	21	9867
"LINC00484"	"9"	93862210	93862978	769	21	9877
"AUH"	"9"	93862210	93862978	769	21	9877
"NFIL3"	"9"	93862210	93862978	769	21	9877
"ERCC6L2"	"9"	98810736	98812062	1327	21	9878
"LINC00476"	"9"	98810736	98812062	1327	21	9878
"LOC158435"	"9"	98810736	98812062	1327	21	9878
"PRRC2B"	"9"	134297778	134298278	501	21	9886
"SNORD62A"	"9"	134297778	134298278	501	21	9886
"UCK1"	"9"	134297778	134298278	501	21	9886
"PABPC5-AS1"	"X"	90650187	90650746	560	21	9896
"PABPC5"	"X"	90650187	90650746	560	21	9896
"CETN1"	"18"	428999	429708	710	21	9897
"CASZ1"	"1"	10757619	10758154	536	20	9902
"TARDBP"	"1"	10757619	10758154	536	20	9902
"CASZ1"	"1"	10825552	10826417	866	20	9903
"ARHGEF19"	"1"	16505613	16506193	581	20	9904
"SZRD1"	"1"	16505613	16506193	581	20	9904
"FAM131C"	"1"	16505613	16506193	581	20	9904
"EPHA2"	"1"	16505613	16506193	581	20	9904
"OTUD3"	"1"	20102763	20103409	647	20	9907
"LOC101928728"	"1"	27057945	27058472	528	20	9909
"ARID1A"	"1"	27057945	27058472	528	20	9909
"PTP4A2"	"1"	32363029	32363672	644	20	9910
"KHDRBS1"	"1"	32363029	32363672	644	20	9910
"PEF1"	"1"	32363029	32363672	644	20	9910
"SNIP1"	"1"	37961416	37961905	490	20	9912
"DNALI1"	"1"	37961416	37961905	490	20	9912
"FOXJ3"	"1"	42642401	42642913	513	20	9913
"ZMYND12"	"1"	42642401	42642913	513	20	9913
"PPCS"	"1"	42642401	42642913	513	20	9913
"PPIH"	"1"	42642401	42642913	513	20	9913
"PIK3R3"	"1"	46444701	46445147	447	20	9914
"TSPAN1"	"1"	46444701	46445147	447	20	9914
"PRDX1"	"1"	46444701	46445147	447	20	9914
"GPBP1L1"	"1"	46444701	46445147	447	20	9914
"TMEM69"	"1"	46444701	46445147	447	20	9914
"LRRC41"	"1"	46444701	46445147	447	20	9914
"UQCRH"	"1"	46444701	46445147	447	20	9914
"AKR1A1"	"1"	46444701	46445147	447	20	9914
"NASP"	"1"	46444701	46445147	447	20	9914
"RPS15AP10"	"1"	46444701	46445147	447	20	9914
"IPP"	"1"	46444701	46445147	447	20	9914
"LOC101929626"	"1"	46444701	46445147	447	20	9914
"ST7L"	"1"	112977922	112978501	580	20	9917
"CAPZA1"	"1"	112977922	112978501	580	20	9917
"MGST3"	"1"	165853993	165854601	609	20	9921
"LOC440700"	"1"	165853993	165854601	609	20	9921
"ALDH9A1"	"1"	165853993	165854601	609	20	9921
"TMCO1"	"1"	165853993	165854601	609	20	9921
"LOC100147773"	"1"	165853993	165854601	609	20	9921
"UCK2"	"1"	165853993	165854601	609	20	9921
"LINC01344"	"1"	182239851	182240479	629	20	9923
"GLUL"	"1"	182239851	182240479	629	20	9923
"TEDDM1"	"1"	182239851	182240479	629	20	9923
"TSEN15"	"1"	184510597	184511151	555	20	9924
"FAM129A"	"1"	184761493	184762097	605	20	9925
"SWT1"	"1"	184761493	184762097	605	20	9925
"TRMT1L"	"1"	184761493	184762097	605	20	9925
"FAM129A"	"1"	184772079	184772645	567	20	9926
"RNF2"	"1"	184772079	184772645	567	20	9926
"SWT1"	"1"	184772079	184772645	567	20	9926
"TRMT1L"	"1"	184772079	184772645	567	20	9926
"TSEN15"	"1"	184772079	184772645	567	20	9926
"EDEM3"	"1"	184772079	184772645	567	20	9926
"PTGS2"	"1"	186461622	186462229	608	20	9927
"PACERR"	"1"	186461622	186462229	608	20	9927
"C1orf27"	"1"	186461622	186462229	608	20	9927
"TPR"	"1"	186461622	186462229	608	20	9927
"NEK2"	"1"	212781643	212782279	637	20	9929
"NENF"	"1"	212781643	212782279	637	20	9929
"ATF3"	"1"	212781643	212782279	637	20	9929
"DUSP10"	"1"	222179922	222180443	522	20	9930
"MIR320B2"	"1"	224492397	224492919	523	20	9931
"NVL"	"1"	224492397	224492919	523	20	9931
"GTF2IP20"	"1"	224492397	224492919	523	20	9931
"LOC100287497"	"1"	224492397	224492919	523	20	9931
"FBXO28"	"1"	224492397	224492919	523	20	9931
"DEGS1"	"1"	224492397	224492919	523	20	9931
"LOC101927164"	"1"	224492397	224492919	523	20	9931
"LOC101927143"	"1"	224492397	224492919	523	20	9931
"LINC01744"	"1"	232800743	232801372	630	20	9933
"NTPCR"	"1"	232800743	232801372	630	20	9933
"RBM17"	"10"	5992250	5992770	521	20	9937
"CALML5"	"10"	5992250	5992770	521	20	9937
"ST8SIA6-AS1"	"10"	17487112	17487795	684	20	9939
"ZNF438"	"10"	31362959	31363538	580	20	9942
"LOC102031319"	"10"	32394722	32395304	583	20	9943
"KIF5B"	"10"	32394722	32395304	583	20	9943
"NRP1"	"10"	34808672	34809440	769	20	9945
"ANK3"	"10"	62350102	62350922	821	20	9949
"LOC105378330"	"10"	65397640	65398206	567	20	9950
"JMJD1C-AS1"	"10"	65397640	65398206	567	20	9950
"JMJD1C"	"10"	65397640	65398206	567	20	9950
"REEP3"	"10"	65397640	65398206	567	20	9950
"DLG5"	"10"	79647124	79647872	749	20	9957
"DLG5-AS1"	"10"	79647124	79647872	749	20	9957
"POLR3A"	"10"	79647124	79647872	749	20	9957
"RPS24"	"10"	79647124	79647872	749	20	9957
"ZMIZ1-AS1"	"10"	80239409	80239902	494	20	9958
"ZMIZ1"	"10"	80239409	80239902	494	20	9958
"PPIF"	"10"	80239409	80239902	494	20	9958
"POLR3A"	"10"	80239409	80239902	494	20	9958
"RPS24"	"10"	80239409	80239902	494	20	9958
"ZMIZ1-AS1"	"10"	80403428	80403959	532	20	9959
"ZMIZ1"	"10"	80403428	80403959	532	20	9959
"POLR3A"	"10"	80403428	80403959	532	20	9959
"RPS24"	"10"	80403428	80403959	532	20	9959
"CPEB3"	"10"	93788650	93789262	613	20	9962
"MARCH5"	"10"	93788650	93789262	613	20	9962
"IDE"	"10"	93788650	93789262	613	20	9962
"ATE1"	"10"	123786102	123786709	608	20	9966
"ATE1-AS1"	"10"	123786102	123786709	608	20	9966
"NSMCE4A"	"10"	123786102	123786709	608	20	9966
"TACC2"	"10"	123786102	123786709	608	20	9966
"HMX2"	"10"	124986856	124987759	904	20	9967
"BUB3"	"10"	124986856	124987759	904	20	9967
"MGMT"	"10"	131513927	131514559	633	20	9969
"ABTB2"	"11"	34296126	34296752	627	20	9972
"CREB3L1"	"11"	46289367	46289993	627	20	9976
"MIR3161"	"11"	48109787	48110584	798	20	9977
"FNBP4"	"11"	48109787	48110584	798	20	9977
"NUP160"	"11"	48109787	48110584	798	20	9977
"OR9G1"	"11"	56458617	56459087	471	20	9978
"OR5AR1"	"11"	56458617	56459087	471	20	9978
"ASRGL1"	"11"	62091136	62091645	510	20	9981
"TUT1"	"11"	62091136	62091645	510	20	9981
"MTA2"	"11"	62091136	62091645	510	20	9981
"TMEM258"	"11"	62091136	62091645	510	20	9981
"MIR611"	"11"	62091136	62091645	510	20	9981
"FEN1"	"11"	62091136	62091645	510	20	9981
"FADS2"	"11"	62091136	62091645	510	20	9981
"FADS1"	"11"	62091136	62091645	510	20	9981
"MIR1908"	"11"	62091136	62091645	510	20	9981
"SCGB1D2"	"11"	62091136	62091645	510	20	9981
"C2CD3"	"11"	73797437	73797967	531	20	9984
"PPME1"	"11"	73797437	73797967	531	20	9984
"EXPH5"	"11"	108405146	108405712	567	20	9988
"SIK3"	"11"	116817117	116817629	513	20	9990
"SIDT2"	"11"	116817117	116817629	513	20	9990
"DCPS"	"11"	126245534	126246262	729	20	9993
"DCP1B"	"12"	2148104	2148788	685	20	9994
"TSPAN9"	"12"	3323954	3324609	656	20	9995
"CD27-AS1"	"12"	6539770	6540422	653	20	9996
"TAPBPL"	"12"	6539770	6540422	653	20	9996
"MRPL51"	"12"	6539770	6540422	653	20	9996
"NCAPD2"	"12"	6539770	6540422	653	20	9996
"SCARNA10"	"12"	6539770	6540422	653	20	9996
"NOP2"	"12"	6539770	6540422	653	20	9996
"CHD4"	"12"	6539770	6540422	653	20	9996
"TNFRSF1A"	"12"	6539770	6540422	653	20	9996
"VAMP1"	"12"	6539770	6540422	653	20	9996
"GAPDH"	"12"	6539770	6540422	653	20	9996
"PLEKHG6"	"12"	6539770	6540422	653	20	9996
"SCNN1A"	"12"	6539770	6540422	653	20	9996
"LTBR"	"12"	6539770	6540422	653	20	9996
"ST8SIA1"	"12"	22568631	22569182	552	20	9998
"ATF1"	"12"	50645572	50646150	579	20	10002
"LIMA1"	"12"	50645572	50646150	579	20	10002
"FAM186A"	"12"	50645572	50646150	579	20	10002
"CERS5"	"12"	50645572	50646150	579	20	10002
"GRASP"	"12"	52378422	52378891	470	20	10004
"ATG101"	"12"	52378422	52378891	470	20	10004
"OR7E47P"	"12"	52378422	52378891	470	20	10004
"ANKRD33"	"12"	52378422	52378891	470	20	10004
"ACVR1B"	"12"	52378422	52378891	470	20	10004
"HOXC13-AS"	"12"	54198122	54198682	561	20	10006
"HOXC13"	"12"	54198122	54198682	561	20	10006
"HOTAIR"	"12"	54198122	54198682	561	20	10006
"HOXC11"	"12"	54198122	54198682	561	20	10006
"HOXC-AS3"	"12"	54198122	54198682	561	20	10006
"HOXC10"	"12"	54198122	54198682	561	20	10006
"MIR196A2"	"12"	54198122	54198682	561	20	10006
"HOXC9"	"12"	54198122	54198682	561	20	10006
"HOXC-AS2"	"12"	54198122	54198682	561	20	10006
"HOXC-AS1"	"12"	54198122	54198682	561	20	10006
"HOXC6"	"12"	54198122	54198682	561	20	10006
"HOXC5"	"12"	54198122	54198682	561	20	10006
"HOXC4"	"12"	54198122	54198682	561	20	10006
"MIR615"	"12"	54198122	54198682	561	20	10006
"CBX5"	"12"	54198122	54198682	561	20	10006
"HNRNPA1"	"12"	54198122	54198682	561	20	10006
"CISTR"	"12"	54198122	54198682	561	20	10006
"XPOT"	"12"	65214350	65214919	570	20	10007
"CNOT2"	"12"	70234420	70234969	550	20	10008
"LINC01481"	"12"	70234420	70234969	550	20	10008
"PTPRB"	"12"	70234420	70234969	550	20	10008
"TMTC2"	"12"	83149731	83150268	538	20	10011
"CKAP4"	"12"	105603332	105603868	537	20	10016
"APPL2"	"12"	105603332	105603868	537	20	10016
"HSP90B1"	"12"	105603332	105603868	537	20	10016
"TTC41P"	"12"	105603332	105603868	537	20	10016
"MIR3652"	"12"	105603332	105603868	537	20	10016
"TXNRD1"	"12"	105603332	105603868	537	20	10016
"EID3"	"12"	105603332	105603868	537	20	10016
"WASHC4"	"12"	105603332	105603868	537	20	10016
"LOC414300"	"12"	105603332	105603868	537	20	10016
"DHX37"	"12"	125411725	125413218	1494	20	10020
"BRI3BP"	"12"	125411725	125413218	1494	20	10020
"SCARB1"	"12"	125411725	125413218	1494	20	10020
"SKA3"	"13"	22055370	22055807	438	20	10022
"MRPL57"	"13"	22055370	22055807	438	20	10022
"MIPEPP3"	"13"	22055370	22055807	438	20	10022
"LINC00365"	"13"	30969470	30970064	595	20	10023
"LINC01058"	"13"	30969470	30970064	595	20	10023
"HMGB1"	"13"	30969470	30970064	595	20	10023
"USPL1"	"13"	30969470	30970064	595	20	10023
"LINC00572"	"13"	30969470	30970064	595	20	10023
"TPT1"	"13"	45427611	45428119	509	20	10027
"SNORA31"	"13"	45427611	45428119	509	20	10027
"TPT1-AS1"	"13"	45427611	45428119	509	20	10027
"TSC22D1-AS1"	"13"	45427611	45428119	509	20	10027
"TSC22D1"	"13"	45427611	45428119	509	20	10027
"LINC00330"	"13"	45427611	45428119	509	20	10027
"LRCH1"	"13"	47189883	47190625	743	20	10028
"ARGLU1"	"13"	107610926	107611451	526	20	10036
"MCF2L"	"13"	113560036	113560914	879	20	10039
"MCF2L-AS1"	"13"	113560036	113560914	879	20	10039
"TUBGCP3"	"13"	113560036	113560914	879	20	10039
"HECTD1"	"14"	31698837	31699336	500	20	10040
"SPTSSA"	"14"	34844226	34844757	532	20	10042
"EAPP"	"14"	34844226	34844757	532	20	10042
"PPP1R36"	"14"	64979954	64980459	506	20	10044
"ZBTB25"	"14"	64979954	64980459	506	20	10044
"ZBTB1"	"14"	64979954	64980459	506	20	10044
"YLPM1"	"14"	75199237	75199757	521	20	10047
"AREL1"	"14"	75199237	75199757	521	20	10047
"FCF1"	"14"	75199237	75199757	521	20	10047
